title,keywords,thumbnail,url
Machine Love (feat. Kasane Teto),machine love jamie paige teto kasane,https://i.ytimg.com/vi/sqK-jh4TDXo/maxresdefault.jpg,video1.html
メズマライザー / 初音ミク・重音テトSV,mezumaraiza mesmerizer hatsune miku teto japanese,https://i.ytimg.com/vi/19y8YTbvri8/hq720.jpg,video2.html
DECO*27 - モニタリング feat. 初音ミク,monitoring deco27 モニタリング hatsune miku,https://i.ytimg.com/vi/kbNdx0yqbZE/hq720.jpg,video3.html
Birdbrain (HEV mix),birdbrain hev mix teto,https://i.ytimg.com/vi/NA0EfgjfZH8/hq720.jpg,video4.html
SAWTOWNE - Confessions of a Rotten Girl (ft. Hatsune Miku),confessions rotten girl sawtowne hatsune miku,https://i.ytimg.com/vi/sV2H712ldOI/hq720.jpg,video5.html
BIRDBRAIN (w/ OK Glass) feat. Kasane Teto,birdbrain ok glass teto,https://i.ytimg.com/vi/0iVlSNpq8i8/hq720.jpg,video6.html
いまずぐ輪廻 / 初音ミク,retry now いまずぐ輪廻 hatsune miku,https://i.ytimg.com/vi/3iUgKH8c7p4/hq720.jpg,video7.html
Vane & JamieP - FIRE!!! (feat. Kasane Teto),fire vane jamie paige teto,https://i.ytimg.com/vi/yZkPe7TEuyk/hq720.jpg,video8.html
Hatsune Miku ~ Triple Baka - Full Song (English Subtitles v2) [LamazeP - REUPLOAD w/subtitles added],triple baka miku teto neru kasane teto hatsune miku,https://i.ytimg.com/vi/duPJqfKiA78/mqdefault.jpg,video9.html
Kasane Teto - Teto territory,kasane teto teto territory,https://i.ytimg.com/vi/JALbemLw3G4/hqdefault.jpg,video10.html
椎名もた(siinamota) - Young Girl A / 少女A,young a girl siinamota,https://i.ytimg.com/vi/AqI97zHMoQw/maxresdefault.jpg,video11.html
"稲葉曇『ラグトレイン』Vo. 歌愛ユキ
",inabakumori inabacumori lagtrain lag train,https://i.ytimg.com/vi/UnIhRpIT7nc/maxresdefault.jpg,video12.html
稲葉曇『ロストアンブレラ』Vo. 歌愛ユキ,inabakumori inabacumori lost umbrella umbrela,https://i.ytimg.com/vi/DeKLpgzh-qQ/mqdefault.jpg,video13.html
イガク - 重音テト,medicine igaku teto kasane teto,https://i.ytimg.com/vi/F38EuG2dAyM/maxresdefault.jpg,video14.html
Anamanaguchi - Miku ft. Hatsune Miku (Lyric Video),anamanaguchi miku hatsune miku,https://i.ytimg.com/vi/NocXEwsJGOQ/maxresdefault.jpg,video15.html
Static ft. Hatsune Miku,static hatsune miku,https://static.wikia.nocookie.net/vocaloid/images/a/a7/Static.jpg,video16.html
LOG OFF / 重音テト,kasane teto log off logoff,https://i.ytimg.com/vi/qKOJ5_IkUXY/mqdefault.jpg,video17.html
プロポーズ / 可不,propose 9lana,https://img.cdn.nimg.jp/s/nicovideo/thumbnails/42461482/42461482.15717210.original/r1280x720l?key=497b171c10432f04c4532576f8b41e8512f9856c2f5460f844649ab7e469f4aa,video18.html
レビテト / LOL feat. 重音テトSV,kasane teto hatsune miku teto miku lol leviteto,https://i.ytimg.com/vi/_J_hTrOT8LA/hq720.jpg,video19.html
DECO*27 - ラビットホール feat. 初音ミク,hatsune miku rabbit hole miku deco 27,https://i.ytimg.com/vi/eSW2LVbPThw/maxresdefault.jpg,video20.html
Kikuo - 愛して愛して愛して,kikuo love me love me,https://i.ytimg.com/vi/NTrm_idbhUk/mqdefault.jpg,video21.html
DECO*27 - ヴァンパイア feat. 初音ミク,deco 27 deco27 the vampire miku hatsune miku,https://i.ytimg.com/vi/e1xCOsgWG0M/maxresdefault.jpg,video22.html
「ＭＶ」　千本桜　WhiteFlame feat 初音ミク,mv whiteflame flame white,https://i.ytimg.com/vi/shs0rAiwsGQ/maxresdefault.jpg,video23.html
"""トゥイー・ボックスの人形劇場"" feat. 初音ミク (Remaster ver) / sasakure.‌UK",sasakure uk remaster ver sasakureuk hatsune miku,https://img.cdn.nimg.jp/s/nicovideo/thumbnails/45353483/45353483.89908009.original/r1280x720l?key=8d24fd18c792e3aacf8c079d212f71ec5bb13d4fbed62dc534983078f73a9c3d,video24.html
初音ミクの消失(THE END OF HATSUNE MIKU) - cosMo＠暴走P,hatsune miku the end of hatsune miku cosmo,https://i.ytimg.com/vi/VWVtIg5cdDU/maxresdefault.jpg,video25.html
ダイジョブですか？ - cosMo＠暴走P feat.初音ミク,daijobudesuka daijobu des uka hatsune miku are you ok? cosmo,https://i.ytimg.com/vi/2AD1jTs516E/hqdefault.jpg,video26.html
テトリス / 重音テトSV,tetoris kasane teto,https://i.ytimg.com/vi/Soy4jGPHr3g/maxresdefault.jpg,video27.html
【KASANE TETO AI/重音テト】Girl A /少女A【SYNTH V】,kasane teto ai young a girl a siinamota synth v,https://i.ytimg.com/vi/p2WQUYkxFi4/maxresdefault.jpg,video28.html
ダイダイダイダイダイキライ - 初音ミク VS 重音テト (Daidaidaidaidaikirai - HatsuneMiku VS KasaneTeto),daidaidaidaikirai hatsune miku kasane teto miku teto daidai amala,https://i.ytimg.com/vi/klIxS5o65C4/maxresdefault.jpg,video29.html
ピノキオピー - 魔法少女とチョコレゐト feat. 初音ミク / Magical Girl and Chocolate,magical girl and chocolate hatsune miku pinocchiop official channel,https://i.ytimg.com/vi/T2kS1gAbxhc/maxresdefault.jpg,video30.html
【公式】 バグ／かいりきベア feat.初音ミク,hatsune miku bug kairiki bear,https://i.ytimg.com/vi/FkO8ub83wss/maxresdefault.jpg,video31.html
モニタリング / 重音テトSV【Synthesizer V カバー】[yasai31],monitoring deco27 kasane teto synthesizer v cover yasai31 31 yasai,https://i.ytimg.com/vi/b-lg99jzkII/maxresdefault.jpg,video32.html
【うごメモ】DECO*27-モニタリング,monitoring deco27 hatsune miku deco 27,https://i.ytimg.com/vi/L6CUS91LEDw/sddefault.jpg,video33.html
オーバーライド - 重音テトSV[吉田夜世],override teto over ride kasane teto,https://i.ytimg.com/vi/LLjfal8jCYI/maxresdefault.jpg,video34.html
"稲葉曇『超深淵帯』Vo. 歌愛ユキ
",inabakumori inabacumori hadal abyss zone kaai yuki,https://i.ytimg.com/vi/IJN0piNZhBE/maxresdefault.jpg,video35.html
稲葉曇『私は雨』Vo. 歌愛ユキ,inabakumori im the rain kaai yuki,https://i.ytimg.com/vi/EEk4JGzqoFg/maxresdefault.jpg,video36.html
【MV】プロポーズ/ 9Lana cover,propose 9lana cover mv,https://i.ytimg.com/vi/XPLkkdMFmco/hq720.jpg,video37.html
Aishite Aishite Aishite,aishite ado love me loveme kikuo,https://i.scdn.co/image/ab67616d0000b273f5912abed0ea22e746552771,video38.html
monitoring (deco*27) ♥ english cover【rachie】モニタリング,monintoring deco27 hatsune miku english cover rachie,https://i.ytimg.com/vi/qVyW5iSnrF0/hq720.jpg,video39.html
Monitoring (English Cover) 【JubyPhonic】モニタリング,monintoring deco27 hatsune miku english cover jubyphonic juby phonic,https://i.ytimg.com/vi/v4c1_ZNq1Qs/maxresdefault.jpg,video40.html
【METAL COVER】Monitoring (Deco*27)【Futakuchi Mana 二口魔菜】,monintoring deco27 hatsune miku metal cover futakuchi mana,https://i.ytimg.com/vi/9lzsvTAhqe4/maxresdefault.jpg,video41.html
【full版】混沌ブギ / 重音テトSV【SynthVカバー】(Konton Boogie),full konton boogie kasane teto,https://i.ytimg.com/vi/Whg4j8VzGn8/hqdefault.jpg,video42.html
アガリ症 / 重音テトSV,アガリ症 / 重音テトSV,https://i.ytimg.com/vi/QQdddUKUkko/maxresdefault.jpg,video43.html
虐/歌愛ユキ,虐/歌愛ユキ,https://i.ytimg.com/vi/CeWHvGA1_Iw/hqdefault.jpg,video44.html
ぴーなた-急性恋愛中毒　feat.重音テト,ぴーなた-急性恋愛中毒 feat.重音テト kasane teto,https://i.ytimg.com/vi/6cDSJs-b_Us/maxresdefault.jpg,video45.html
jamieP - machine love (kasane teto) jalenrekt remix,jamie p jamiep machine love kasane teto remix jalenrekt,https://i.ytimg.com/vi/vQsAL-E5FJU/maxresdefault.jpg,video46.html
"machine love, but i made it jerk and jungle",jamie p jamiep machine love kasane teto remix jerk and jungle,https://i.ytimg.com/vi/tI98oFMsswQ/mqdefault.jpg,video47.html
いますぐ輪廻 / 重音テトSV【SynthV cover】,retry now いまずぐ輪 kasane teto synthv cover yasai 31,https://i.ytimg.com/vi/4e2XnoNEsdE/maxresdefault.jpg,video48.html
超限界バスター / ¿? feat.重音テト,超限界バスター / ¿? feat.重音テト kasane teto shimon,https://i.ytimg.com/vi/PKXJWt0Pcfs/maxresdefault.jpg,video49.html
堕落ちゃん / ¿? feat.歌愛ユキ,堕落ちゃん / ¿? feat.歌愛ユキ ? feat,https://i.ytimg.com/vi/6zEGhOz666A/maxresdefault.jpg,video50.html
,,,video51.html
,,,video52.html
,,,video53.html
,,,video54.html
,,,video55.html
,,,video56.html
,,,video57.html
,,,video58.html
,,,video59.html
,,,video60.html
,,,video61.html
,,,video62.html
,,,video63.html
,,,video64.html
,,,video65.html
,,,video66.html
,,,video67.html
,,,video68.html
,,,video69.html
,,,video70.html
,,,video71.html
,,,video72.html
,,,video73.html
,,,video74.html
,,,video75.html
,,,video76.html
,,,video77.html
,,,video78.html
,,,video79.html
,,,video80.html
,,,video81.html
,,,video82.html
,,,video83.html
,,,video84.html
,,,video85.html
,,,video86.html
,,,video87.html
,,,video88.html
,,,video89.html
,,,video90.html
,,,video91.html
,,,video92.html
,,,video93.html
,,,video94.html
,,,video95.html
,,,video96.html
,,,video97.html
,,,video98.html
,,,video99.html
,,,video100.html
